"","country","Community Type","Treats water with acceptable method","Boil","Bleach","Filter","SolarDisinfection","Strain","More than 30 minutes","SurveyYear","Piped onto premises","Female Under 15","Mean Household Size","Female Over 15","Female Any Age","Type","LetStand","Any_water_treatment","Multiple_water_treatment"
"81","Gambia","Urban",4.09481273760581,0.248322132751189,3.59079521183028,0.326721501102998,0,9.8915358228447,NA,2018,59.1113073159922,NA,NA,NA,NA,"MICS",0.0821318255890816,12.7425556364397,1.4041461646544
"82","Gambia","Rural",4.5215709730787,0.0444543156069792,3.7599642490844,0.722990445730557,0.0275147886010679,26.2665557069794,NA,2018,4.5112231702505,NA,NA,NA,NA,"MICS",0.30060153923387,30.0228207554191,0.883430785026819
"83","Gambia","Total",4.20302680881428,0.19662689960095,3.63369179523986,0.427204332428115,0.00697698848075479,14.0437874268896,NA,2018,45.2662379005472,NA,NA,NA,NA,"MICS",0.137529695352629,17.1261999985816,1.27210716344353
"84","Georgia","Urban",6.66050677454195,2.99956642799075,0.317351236456868,3.35317587300343,0,0.951512907101023,NA,2018,92.7615261989068,NA,NA,NA,NA,"MICS",9.22997747993139,17.9644531839769,0.0748753244629355
"85","Georgia","Rural",5.78856536152272,2.51394173292993,1.67877718777487,1.66241156021174,0.0214213731590513,1.09096374070732,NA,2018,67.8889731006531,NA,NA,NA,NA,"MICS",6.48862613419221,14.2605459635714,0.228676898112031
"86","Georgia","Total",6.3063727646605,2.80233274004849,0.87028658750019,2.66648163310011,0.00870016799375921,1.00815006431015,NA,2018,82.6596812433203,NA,NA,NA,NA,"MICS",8.1165933350047,16.4598154830768,0.137340952530587
"87","Ghana","Total",3.2,1.8,1,0.4,0,1,4.8,2022,7.2,11.6,3.5,62.1,73.7,"DHS",NA,NA,NA
"88","Ghana","Total",3.2,1.8,1,0.4,0,1,4.8,2022,7.2,11.6,3.5,62.1,73.7,"DHS",NA,NA,NA
"89","Guatemala","Total",53.1,40.8,13.1,4.2,0.4,0.6,1.2,2015,51.1,NA,4.8,NA,NA,"DHS",NA,NA,NA
"90","Guatemala","Total",53.1,40.8,13.1,4.2,0.4,0.6,1.2,2015,51.1,NA,4.8,NA,NA,"DHS",NA,NA,NA
"91","Guinea","Urban",49.3969272358378,0.834454228548949,48.9187870598613,0.676124934721638,0.157628423770613,7.34607162028283,NA,2016,36.5145036873397,8.52677373213909,NA,71.0126049898441,79.5393787219832,"MICS",1.17619703814916,53.4185258665768,4.32574517880977
"92","Guinea","Rural",14.4814712932702,1.50433770810111,12.9571219587495,0.966859065632191,0.0508925875433987,12.3091403340266,NA,2016,1.6936620843858,10.5862104584215,NA,77.4012032085871,87.9874136670083,"MICS",0.563313930691768,24.4743774622764,3.46546793365116
"93","Guinea","Total",26.7896704786702,1.26819417009611,25.6341248835059,0.864371113043896,0.0885185012552449,10.5595874025093,NA,2016,13.9685083575492,10.2866767263396,NA,76.4720167748355,86.7586935011753,"MICS",0.779364019694216,34.6794053471722,3.76872800579512
"94","Haiti","Total",44,1.3,27.1,1.8,0.1,0.5,19.4,2016,3.5,NA,4.3,NA,NA,"DHS",NA,NA,NA
"95","Haiti","Total",44,1.3,27.1,1.8,0.1,0.5,19.4,2016,3.5,NA,4.3,NA,NA,"DHS",NA,NA,NA
"96","Honduras","Urban",NA,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,"MICS",NA,NA,NA
"97","Honduras","Rural",NA,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,"MICS",NA,NA,NA
"98","Honduras","Total",NA,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,"MICS",NA,NA,NA
"99","India","Total",28.2,16,3.4,7,0.1,14.8,1.2,2020,32.9,NA,4.4,NA,NA,"DHS",NA,NA,NA
"100","India","Total",28.2,16,3.4,7,0.1,14.8,1.2,2020,32.9,NA,4.4,NA,NA,"DHS",NA,NA,NA
"101","Indonesia","Total",69.5,69.1,0.5,1.5,0.1,5.1,0.5,2017,8.4,NA,3.9,NA,NA,"DHS",NA,NA,NA
"102","Indonesia","Total",69.5,69.1,0.5,1.5,0.1,5.1,0.5,2017,8.4,NA,3.9,NA,NA,"DHS",NA,NA,NA
"103","Indonesia_Papua_Selected_Districts","Total",62.0620701948069,61.892698400922,0.318712963519128,0.917294159920221,0.102805903657218,23.0262743470043,NA,2011,9.52896960258255,6.65639247814319,NA,58.7648877950691,65.4212802732123,"MICS",32.4513834436269,62.670974444901,23.5491029167719
"104","Indonesia_West_Papua_Selected_Districts","Total",77.8748375755107,77.7449179705555,1.28259727131735,0.313052612278761,0.0178078718625236,27.8517952216259,NA,2011,8.64468526045329,1.79436997203626,NA,55.5313745366773,57.3257445087136,"MICS",18.2678441933807,78.7808431353126,28.8159642203488
"105","Iraq","Urban",11.6739504575183,1.50549543626127,0.931401972846883,9.85037347044593,0.00295957120665831,0.0319074499445315,NA,2018,58.517349584913,NA,NA,NA,NA,"MICS",0.203864031070906,30.3437484702448,0.602534995121458
"106","Iraq","Rural",9.42575428815145,3.5493683063526,2.03622340409783,4.22105942912693,0.0263963024516197,0.070642140432437,NA,2018,47.7698393873197,NA,NA,NA,NA,"MICS",1.1404823745517,26.9847875912238,0.440824383160683
"107","Iraq","Total",11.0367045930175,2.08482634687213,1.24456098346596,8.2547577756566,0.00960265701330075,0.0428867059642979,NA,2018,55.470993345891,NA,NA,NA,NA,"MICS",0.469346275961855,29.3915591515251,0.556698506241159
"108","Jamaica","Urban",25.4050733597481,14.7896526501884,7.7393309520062,5.49642425387385,0,0.162755983995381,NA,2022,53.7547645645435,NA,NA,NA,NA,"MICS",3.18056292092944,27.061443621626,2.70570556357618
"109","Jamaica","Rural",29.239695010949,18.5032597253273,11.714829577816,3.04588431815719,0,0.408777835045986,NA,2022,60.4025146516432,NA,NA,NA,NA,"MICS",2.09314262290579,30.8205578314327,4.07429560571275
"110","Jamaica","Other",33.5728455343704,18.4864407271531,19.899453142495,1.30989701499212,0.0591016298959505,0.352600782907804,NA,2022,47.8812254128456,NA,NA,NA,NA,"MICS",2.51260266945356,35.0244439825436,6.34620461681285
"111","Jamaica","Total",30.1087303588452,17.35619648952,14.3585766836673,2.97817198782216,0.0278964230324918,0.306796250864028,NA,2022,52.4532163997452,NA,NA,NA,NA,"MICS",2.62469000765414,31.6508276480482,4.72684810846899
"112","Jordan","Total",34.4,1.3,1.2,32.7,NA,NA,0.1,2023,49.2,NA,4.8,8.8,NA,"DHS",NA,NA,NA
"113","Jordan","Total",34.4,1.3,1.2,32.7,NA,NA,0.1,2023,49.2,NA,4.8,8.8,NA,"DHS",NA,NA,NA
"114","Kazakhstan","Urban",58.0914137435256,29.3185960586155,0.0289684389317693,38.2023701176176,0.0205727552294301,0.32762738895936,NA,2015,83.0290773370574,0,NA,24.4959464895457,24.4959464895457,"MICS",8.73257286669418,60.6291350076628,9.71882319060075
"115","Kazakhstan","Rural",48.1443617465144,40.5518394172532,0.137162947564232,12.6218847572299,0.0256271573857901,0.409264799862826,NA,2015,59.3632996079976,1.11259809320895,NA,35.9111985983699,37.0237966915789,"MICS",9.11921267136402,49.1606005529229,5.43777721429196
"116","Kazakhstan","Total",54.1529366501952,33.7663331032287,0.0718074221803881,28.0739264683391,0.0225740162180409,0.359951244600074,NA,2015,73.6587509820971,0.851215093225716,NA,33.2294100352027,34.0806251284284,"MICS",8.88566063727378,56.0886189997381,8.0237680608745
"117","Kenya","Total",34.4,21.6,14.8,1.1,0,1.4,13.9,2022,25.3,5.4,3.7,69.6,75,"DHS",NA,NA,NA
"118","Kenya","Total",34.4,21.6,14.8,1.1,0,1.4,13.9,2022,25.3,5.4,3.7,69.6,75,"DHS",NA,NA,NA
"119","Kiribati","Urban",85.4349951124146,84.2619745845554,0,2.73704789833822,5.9628543499511,1.66177908113392,NA,2019,41.6422287390027,NA,NA,NA,NA,"MICS",2.1505376344086,87.5855327468232,8.11339198435969
"120","Kiribati","Rural",90.2719116716018,89.6785440290016,0.360900401142877,1.39398939462242,0.660133901548583,0.33186298695267,NA,2019,7.57503549916284,NA,NA,NA,NA,"MICS",0.646870666657587,90.6834270944268,2.15351904166637
"121","Kiribati","Total",87.9655664425334,87.0958079112186,0.188815373799655,2.03438840388808,3.18858438391742,0.965995414366533,NA,2019,23.8190015951264,NA,NA,NA,NA,"MICS",1.36385122539654,89.20628483627,4.99531388328389
"122","Kosovo_under_UNSC_res_1244","Urban",8.88329375390598,5.38265045217907,0.98195862046583,2.55477458469005,NA,0.105286185167435,NA,2020,73.4103326905883,NA,NA,NA,NA,"MICS",0.288802719691381,9.40241870310452,0.141376088596365
"123","Kosovo_under_UNSC_res_1244","Rural",12.9385285648138,2.92732605098353,7.91420100678647,2.51798250104798,NA,0.211901479989009,NA,2020,48.0974838553523,NA,NA,NA,NA,"MICS",0.378229754310152,14.0093296340332,0.469256577973746
"124","Kosovo_under_UNSC_res_1244","Total",11.1277279516118,4.023712114581,4.8187184146936,2.53441142088286,NA,0.164294115621273,NA,2020,59.4005339449408,NA,NA,NA,NA,"MICS",0.338297534185949,11.9528454848671,0.322846759823509
"125","Kosovo_UNSCR_1244_Roma_Ashkali_Egyptian Communities","Urban",7.93765436729139,5.769787934755,1.34961116451476,0.81825526802162,NA,0.203360364510006,NA,2020,69.9918198937657,NA,NA,NA,NA,"MICS",0.850890756414895,8.52247551795029,NA
"126","Kosovo_UNSCR_1244_Roma_Ashkali_Egyptian Communities","Rural",11.6341301733761,5.18377659366538,6.24745043788381,0.202903141826908,NA,0.4186232011806,NA,2020,74.2228735372766,NA,NA,NA,NA,"MICS",1.07801300438564,12.8655523964197,NA
"127","Kosovo_UNSCR_1244_Roma_Ashkali_Egyptian Communities","Total",9.61227679474423,5.50430594974783,3.56848988130275,0.539480963693647,NA,0.30088135287744,NA,2020,71.9086232748446,NA,NA,NA,NA,"MICS",0.953784439527668,10.4882032309386,NA
"128","Kyrgyz Republic","Total",45.2,44.2,0.3,1,1.5,0.1,1.2,2012,61.3,NA,4.2,NA,NA,"DHS",NA,NA,NA
"129","Kyrgyz Republic","Total",45.2,44.2,0.3,1,1.5,0.1,1.2,2012,61.3,NA,4.2,NA,NA,"DHS",NA,NA,NA
"130","Lao","Urban",18.5909547705227,14.8869152967351,0.252957302159129,4.20257199398832,NA,1.59106790080658,NA,2017,6.67030107471793,NA,NA,NA,NA,"MICS",0.328487886982539,18.9990397090324,1.91521369909782
