"","country","Community Type","Treats water with acceptable method","Boil","Bleach","Filter","SolarDisinfection","Strain","More than 30 minutes","SurveyYear","Piped onto premises","Female Under 15","Mean Household Size","Female Over 15","Female Any Age","Type","LetStand","Any_water_treatment","Multiple_water_treatment"
"31","Bosnia and Herzegovina","Rural",5.58156887612806,1.96709401432387,3.36578125068837,0.453737737530597,NA,0.0707420297059438,NA,2012,82.1212963610251,1.09696403200691,NA,31.9761802394021,33.073144271409,"MICS",NA,6.00320770023616,0.213557472342524
"32","Bosnia and Herzegovina","Total",4.59048202636916,2.077927653966,2.18432732553603,0.486022993169749,NA,0.0813633037303782,NA,2012,85.3575722257338,0.767775709393636,NA,31.9145310191431,32.6823067285367,"MICS",NA,4.86422666119169,0.199742947935265
"33","Burkina Faso","Total",1.8,0.3,0.8,0.8,0.1,3.6,22.4,2021,17.5,14,6.2,75.2,89.2,"DHS",NA,NA,NA
"34","Burkina Faso","Total",1.8,0.3,0.8,0.8,0.1,3.6,22.4,2021,17.5,14,6.2,75.2,89.2,"DHS",NA,NA,NA
"35","Burundi","Total",4.4,4.3,0,0.2,NA,0.4,25.5,2016,6.1,NA,4.8,NA,NA,"DHS",NA,NA,NA
"36","Burundi","Total",4.4,4.3,0,0.2,NA,0.4,25.5,2016,6.1,NA,4.8,NA,NA,"DHS",NA,NA,NA
"37","Cambodia","Total",67.6,55.5,0.2,18.3,0.2,0.9,1.3,2021,25.6,1.5,4.1,35.4,36.9,"DHS",NA,NA,NA
"38","Cambodia","Total",67.6,55.5,0.2,18.3,0.2,0.9,1.3,2021,25.6,1.5,4.1,35.4,36.9,"DHS",NA,NA,NA
"39","Central_African_Republic","Urban",12.732435791953,0.820426042242257,11.3169896181389,0.96987621310952,0.0795983212904076,1.83036091338845,NA,2019,3.98839269091177,NA,NA,NA,NA,"MICS",1.78147427085092,15.445741840026,0.884681746761806
"40","Central_African_Republic","Rural",2.59579577623128,0.425788319551225,2.13799960329489,0.0320078533851592,0,0.21255246929377,NA,2019,0.00201546207895439,NA,NA,NA,NA,"MICS",0.639219150098465,3.36519336956769,0.100275648962057
"41","Central_African_Republic","Total",5.8348668152996,0.551891211289504,5.07106230246007,0.331695149938066,0.0254349189524666,0.729508430036165,NA,2019,1.27582601593972,NA,NA,NA,NA,"MICS",1.00421637552212,7.22605890516947,0.350925476746323
"42","Chad","Urban",15.2377219130576,0.761178505285126,14.423990936632,0.174577801903671,0.426673200113432,1.81458653493224,NA,2019,21.3326040120338,NA,NA,NA,NA,"MICS",2.05440299628697,16.810364882327,1.46665179713851
"43","Chad","Rural",4.2828407717565,0.507576492253166,3.39840269693888,0.0809266678405024,0.493798277170681,1.87135062651645,NA,2019,0.470150867175331,NA,NA,NA,NA,"MICS",2.8875817476967,8.04684827379011,0.368059942081783
